Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_956.jpg;0;0;0;1.655264;104.0571;87.81194;359.5932;26.87349;359.9815
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_022.jpg;0;0;0;1.649607;104.1455;87.85672;359.6055;26.87349;359.988
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_089.jpg;0;0;0;1.642103;104.2336;87.90134;359.6168;26.87349;359.9942
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_156.jpg;0;0;0;1.636502;104.3505;87.96057;359.6328;26.87267;-0.0002046297
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_223.jpg;0;0;0;1.630735;104.438;88.00485;359.6487;26.87213;0.00167128
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_288.jpg;0;0;0;1.623335;104.5251;88.04898;359.662;26.87208;0.003634804
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_355.jpg;0;0;0;1.617818;104.6407;88.10756;359.6756;26.87208;0.005871962
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_422.jpg;0;0;0;1.612324;104.727;88.15128;359.6826;26.87207;0.007238724
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_489.jpg;0;0;0;1.604889;104.8131;88.19483;359.6936;26.87013;0.002110505
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_556.jpg;0;0;0;1.599441;104.9273;88.2527;359.7032;26.86994;-0.00205558
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_621.jpg;0;0;0;1.594018;105.0126;88.29591;359.7069;26.86993;-0.004778367
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_688.jpg;0;0.1008621;0;1.586815;105.0975;88.33903;359.7109;26.87118;-0.004290774
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_754.jpg;0;0;0;1.582556;105.2106;88.39632;359.7197;26.87197;-0.001177328
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_821.jpg;0;0;0;1.577585;105.295;88.43908;359.7228;26.87202;0.0006390303
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_888.jpg;0;0;0;1.570464;105.379;88.48167;359.7229;26.87203;0.002275947
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_22_955.jpg;0;0;0;1.565096;105.4907;88.53819;359.7257;26.87017;-0.001443254
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_022.jpg;0;0;0;1.559696;105.5741;88.58044;359.726;26.87004;-0.003289975
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_088.jpg;0;0;0;1.552652;105.6572;88.62253;359.7236;26.87002;-0.004873449
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_23_155.jpg;0;0;0;1.547266;105.7675;88.6785;359.7245;26.87185;0.0002485577
